"AveExpr"	"LogFC_MouseC2C12"	"FDR_MouseC2C12"	"LogFC_RatL6"	"FDR_RatL6"	"LogFC_mean"
"DNAJA2"	2.89451688423977	-1.17886757781512	4.84770574239531e-05	-2.6683028978255	7.51796268614797e-18	-3.84717047564063
"PXDN"	2.88889005593396	2.15170865653742	8.19315676206738e-17	2.26615459513466	2.95183918180469e-23	4.41786325167208
"PPME1"	2.87594718102676	1.61535286471243	4.69309994582609e-11	1.94417743320983	2.57900580496577e-19	3.55953029792226
"HIF1A"	2.87575674347201	3.20554404741488	1.0617937179611e-23	4.50659660850144	1.21032403557276e-37	7.71214065591632
"PRDX6"	2.87172142501808	5.17954712059673	1.33083361905127e-44	2.09144241144638	6.39986416559805e-22	7.27098953204311
"ATP6V1D"	2.861764518175	-1.99591050595706	6.8931271880313e-14	-2.62153480594509	7.06873180339384e-23	-4.61744531190215
"UQCR11"	2.86010520624563	-1.47096741186473	1.3669187433743e-05	-2.16858636136305	1.1304764912468e-11	-3.63955377322778
"CLTA"	2.85760999521655	-1.58968624053122	2.43949067895938e-14	-2.321542162059	2.43131298598656e-26	-3.91122840259022
"NDUFS6"	2.8516258525951	-1.46259895829241	0.000638523461997728	-2.53898202874623	6.95269396806715e-10	-4.00158098703863
"HNRNPH1"	2.84380095292284	-1.93113209315345	4.08872038823099e-14	-3.13834164747122	3.66814258080475e-28	-5.06947374062467
"GABARAPL2"	2.84183911267481	2.85904245049059	3.97539545291263e-26	1.69958154261148	7.67851571503773e-17	4.55862399310207
"ATP5E"	2.8411638644226	-1.90109515243489	8.10473013758585e-13	-3.38591340781642	1.5296631232785e-29	-5.28700856025131
"ATP5F1E"	2.8411638644226	-1.90109515243489	8.10473013758585e-13	-3.38591340781642	1.5296631232785e-29	-5.28700856025131
"NDFIP1"	2.83700607271337	-1.86078815886689	1.97831909122744e-12	-2.31067863820996	4.41519530945764e-22	-4.17146679707684
"UGDH"	2.83639011139669	2.24370207370426	6.24494557712987e-11	1.59576739535074	3.46302064620551e-08	3.839469469055
"MPC1"	2.82717138780821	-2.00506242855637	1.98455715667509e-12	-1.5090622330141	5.37451202503351e-12	-3.51412466157047
"RNH1"	2.82100092840901	-2.5697132454873	3.14994343178021e-18	-2.05414427859803	5.98974780426641e-16	-4.62385752408533
"SMDT1"	2.81749629884522	-2.25195047601414	1.73027397409355e-13	-2.51865330706267	1.73834802516572e-18	-4.7706037830768
"BNIP3L"	2.81102846163407	2.89386621792842	2.27394350517018e-18	2.20422873147544	3.97844971785759e-15	5.09809494940385
"CHP1"	2.80119977020691	2.26041783551137	8.5785554011639e-13	1.5297159031265	9.48768127805018e-09	3.79013373863787
"TFG"	2.79897231762602	-1.47326928235353	7.64814137596166e-05	-1.51577734914026	3.28939315979441e-07	-2.98904663149379
"SEC23A"	2.792025679572	1.23497410725144	6.64002295841124e-07	5.12288609055515	2.37925259129686e-15	6.35786019780659
"STT3B"	2.785366913993	1.97514475730817	2.92827535983837e-15	2.44611353611598	3.17099845401965e-23	4.42125829342414
"NEWGENE_1310561"	2.78303298498	-1.87722862441739	3.24965229796015e-13	-4.08415200488276	2.98163275812492e-36	-5.96138062930015
